timestamp,sweep_direction,target_rad,target_deg,angle_rad,angle_deg,iq_hold_A,peak_ramp_iq_A,max_overshoot_deg,present_id_A,input_voltage_V,winding_temp_C,powerstage_temp_C,reached_target
1786995862.2778633,down,1.9199,110.00,1.9227,110.16,-1.7806,0.7050,0.000,-0.0014,19.50,23.5,25.9,True
1786995865.2586732,down,1.7453,100.00,1.7443,99.94,-2.6355,3.0337,0.060,0.0041,19.49,23.8,26.6,True
1786995868.346428,down,1.5708,90.00,1.5697,89.94,-2.6335,3.0090,0.066,-0.0144,19.48,24.0,27.0,True
1786995871.8621447,down,1.3963,80.00,1.3963,80.00,-3.0067,2.7416,0.000,0.0204,19.48,24.0,27.3,True
1786995874.5219653,down,1.2217,70.00,1.2209,69.95,-3.0083,3.4606,0.046,-0.0001,19.48,24.0,27.8,True
1786995876.967795,down,1.0472,60.00,1.0462,59.94,-3.3702,3.6430,0.060,0.0792,19.48,24.2,28.1,True
1786995881.2325304,down,0.8727,50.00,0.8725,49.99,-3.5842,3.7875,0.011,0.0187,19.47,24.5,28.3,True
1786995888.1719906,down,0.6981,40.00,0.6970,39.94,-3.3564,4.0534,0.072,0.0246,19.48,24.5,29.2,True
1786995890.9388034,down,0.5236,30.00,0.5224,29.93,-3.9102,4.2192,0.067,-0.0158,19.48,24.8,29.1,True
1786995893.7056048,down,0.3491,20.00,0.3494,20.02,-4.3318,4.8334,0.000,-0.0336,19.46,25.0,29.1,True
1786995896.1514435,down,0.1745,10.00,0.1735,9.94,-3.8473,4.5656,0.060,-0.0067,19.47,24.8,29.5,True
1786995897.8373227,up,0.1745,10.00,0.1735,9.94,-3.7858,3.9371,0.000,-0.0266,19.48,24.8,29.8,True
1786995900.9251292,up,0.3491,20.00,0.3516,20.15,-1.7566,3.2127,0.147,-0.0118,19.49,24.5,29.4,True
1786995909.0415378,up,0.5236,30.00,0.5235,29.99,-2.5930,1.9843,0.254,0.1111,19.49,24.5,29.4,True
1786995911.9153364,up,0.6981,40.00,0.7021,40.23,-1.2970,2.1105,0.231,-0.0009,19.49,24.5,29.2,True
1786995915.5380266,up,0.8727,50.00,0.8775,50.28,-1.4785,1.3249,0.288,-0.0268,19.49,24.5,29.1,True
1786995921.8356075,up,1.0472,60.00,1.0501,60.17,-1.6980,1.2764,0.226,0.0420,19.49,24.5,29.1,True
1786995924.1744385,up,1.2217,70.00,1.2250,70.19,-0.5344,1.4297,0.187,0.0186,19.49,24.2,29.0,True
1786995927.0482888,up,1.3963,80.00,1.3981,80.11,-0.5397,0.5037,0.106,0.0110,19.50,24.5,28.9,True
1786995935.6996012,up,1.5708,90.00,1.5707,89.99,-1.4874,0.4291,0.257,-0.0001,19.50,24.5,28.9,True
1786995940.6062315,up,1.7453,100.00,1.7489,100.21,-0.9593,1.0793,0.232,-0.0047,19.49,24.5,28.9,True
1786995946.9037886,up,1.9199,110.00,1.9207,110.05,-0.5968,0.7446,0.056,-0.0188,19.50,24.5,28.8,True
